"","r_name","aoi_name","values","date","variable","SSP"
"1","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Atoquedo",80,"01_2041","pr","ssp126"
"2","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","La Caña",58.8,"01_2041","pr","ssp126"
"3","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","La Ciervina",73.8,"01_2041","pr","ssp126"
"4","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Las Casillas",58.1,"01_2041","pr","ssp126"
"5","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","La Villa",76.3,"01_2041","pr","ssp126"
"6","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Valdelacasa",86.4,"01_2041","pr","ssp126"
"7","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Dehesón El Encinar - S -3",82.3,"01_2041","pr","ssp126"
"8","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Dehesón El Encinar - W - 1",86.6,"01_2041","pr","ssp126"
"9","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Dehesón El Encinar - C - 2",82.8,"01_2041","pr","ssp126"
"10","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Dehesón El Encinar - S - 7",79.3,"01_2041","pr","ssp126"
"11","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Dehesón El Encinar - C - 5",80.7,"01_2041","pr","ssp126"
"12","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Dehesón El Encinar - W - 4",80.9,"01_2041","pr","ssp126"
"13","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm","Dehesón El Encinar - Otro - 6",80.7,"01_2041","pr","ssp126"
"14","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm","Atoquedo",86.4,"02_2041","pr","ssp126"
"15","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm","La Caña",67.8,"02_2041","pr","ssp126"
"16","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm","La Ciervina",82.4,"02_2041","pr","ssp126"
"17","CHELSA_mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm","Las Casillas",68.7,"02_2041","pr","ssp126"
