"","r_name","aoi_name","values","date","variable"
"1","CHELSA_pr_01_2000_V.2.1","atoquedo",2459,"01_2000","pr"
"2","CHELSA_pr_01_2000_V.2.1","la_cana",1689,"01_2000","pr"
"3","CHELSA_pr_01_2000_V.2.1","la_ciervina",1702,"01_2000","pr"
"4","CHELSA_pr_01_2000_V.2.1","las_casillas",813,"01_2000","pr"
"5","CHELSA_pr_01_2000_V.2.1","la_villa",1438,"01_2000","pr"
"6","CHELSA_pr_01_2000_V.2.1","valdelacasa",2155,"01_2000","pr"
"7","CHELSA_pr_01_2000_V.2.1","deheson_S3",3717,"01_2000","pr"
"8","CHELSA_pr_01_2000_V.2.1","deheson_W1",3802,"01_2000","pr"
"9","CHELSA_pr_01_2000_V.2.1","deheson_C2",3836,"01_2000","pr"
"10","CHELSA_pr_01_2000_V.2.1","deheson_S7",3598,"01_2000","pr"
"11","CHELSA_pr_01_2000_V.2.1","deheson_C5",3746,"01_2000","pr"
"12","CHELSA_pr_01_2000_V.2.1","deheson_W4",3790,"01_2000","pr"
"13","CHELSA_pr_01_2000_V.2.1","deheson_O6",3746,"01_2000","pr"
"14","CHELSA_pr_01_2001_V.2.1","atoquedo",22876,"01_2001","pr"
"15","CHELSA_pr_01_2001_V.2.1","la_cana",18457,"01_2001","pr"
"16","CHELSA_pr_01_2001_V.2.1","la_ciervina",19979,"01_2001","pr"
"17","CHELSA_pr_01_2001_V.2.1","las_casillas",16322,"01_2001","pr"
"18","CHELSA_pr_01_2001_V.2.1","la_villa",18833,"01_2001","pr"
"19","CHELSA_pr_01_2001_V.2.1","valdelacasa",25854,"01_2001","pr"
"20","CHELSA_pr_01_2001_V.2.1","deheson_S3",27532,"01_2001","pr"
"21","CHELSA_pr_01_2001_V.2.1","deheson_W1",29129,"01_2001","pr"
"22","CHELSA_pr_01_2001_V.2.1","deheson_C2",27439,"01_2001","pr"
"23","CHELSA_pr_01_2001_V.2.1","deheson_S7",26516,"01_2001","pr"
"24","CHELSA_pr_01_2001_V.2.1","deheson_C5",26829,"01_2001","pr"
"25","CHELSA_pr_01_2001_V.2.1","deheson_W4",26796,"01_2001","pr"
"26","CHELSA_pr_01_2001_V.2.1","deheson_O6",26829,"01_2001","pr"
"27","CHELSA_pr_01_2002_V.2.1","atoquedo",8610,"01_2002","pr"
"28","CHELSA_pr_01_2002_V.2.1","la_cana",5644,"01_2002","pr"
"29","CHELSA_pr_01_2002_V.2.1","la_ciervina",8316,"01_2002","pr"
"30","CHELSA_pr_01_2002_V.2.1","las_casillas",6223,"01_2002","pr"
"31","CHELSA_pr_01_2002_V.2.1","la_villa",9871,"01_2002","pr"
"32","CHELSA_pr_01_2002_V.2.1","valdelacasa",9925,"01_2002","pr"
"33","CHELSA_pr_01_2002_V.2.1","deheson_S3",8181,"01_2002","pr"
"34","CHELSA_pr_01_2002_V.2.1","deheson_W1",8615,"01_2002","pr"
"35","CHELSA_pr_01_2002_V.2.1","deheson_C2",8224,"01_2002","pr"
"36","CHELSA_pr_01_2002_V.2.1","deheson_S7",7892,"01_2002","pr"
"37","CHELSA_pr_01_2002_V.2.1","deheson_C5",8013,"01_2002","pr"
"38","CHELSA_pr_01_2002_V.2.1","deheson_W4",8026,"01_2002","pr"
"39","CHELSA_pr_01_2002_V.2.1","deheson_O6",8013,"01_2002","pr"
"40","CHELSA_pr_01_2003_V.2.1","atoquedo",12469,"01_2003","pr"
"41","CHELSA_pr_01_2003_V.2.1","la_cana",6485,"01_2003","pr"
"42","CHELSA_pr_01_2003_V.2.1","la_ciervina",10475,"01_2003","pr"
"43","CHELSA_pr_01_2003_V.2.1","las_casillas",7014,"01_2003","pr"
"44","CHELSA_pr_01_2003_V.2.1","la_villa",11061,"01_2003","pr"
"45","CHELSA_pr_01_2003_V.2.1","valdelacasa",15286,"01_2003","pr"
"46","CHELSA_pr_01_2003_V.2.1","deheson_S3",13153,"01_2003","pr"
"47","CHELSA_pr_01_2003_V.2.1","deheson_W1",13799,"01_2003","pr"
"48","CHELSA_pr_01_2003_V.2.1","deheson_C2",13145,"01_2003","pr"
"49","CHELSA_pr_01_2003_V.2.1","deheson_S7",12725,"01_2003","pr"
"50","CHELSA_pr_01_2003_V.2.1","deheson_C5",12870,"01_2003","pr"
"51","CHELSA_pr_01_2003_V.2.1","deheson_W4",12869,"01_2003","pr"
"52","CHELSA_pr_01_2003_V.2.1","deheson_O6",12870,"01_2003","pr"
