"","aoi_name","Year","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","plotname"
"1","atoquedo","2000",18.65,7.55000000000001,13.5666666666667,6.4397722527017,-29.7,182.71,4.86,62.38,374.28,107.915676710766,18.5333333333333,8.03333333333334,13.8333333333334,3.55715241918777,-16.6,182.71,56.89,110.783333333333,337.21,60.7652767854756,"atoquedo_2000"
"2","atoquedo","2001",18.8333333333333,8.65000000000001,14.5333333333333,5.78227175655613,-26.3,228.76,2.16,96.1916666666667,577.15,93.6100227437754,19.2333333333333,8.83333333333335,14.8666666666667,2.53837218179944,-14.9,167.96,2.16,76.01,238.64,118.464729699097,"atoquedo_2001"
"3","atoquedo","2002",18.7166666666667,7.91666666666668,13.9333333333333,5.64222178460459,-26.3,143.5,7.75,61.4883333333333,368.93,83.0551872752591,18.8666666666667,7.86666666666666,14.1333333333334,2.15947524489941,-15.3,143.5,27.66,83.4866666666667,258.21,61.170546677037,"atoquedo_2002"
"4","atoquedo","2003",18.5666666666667,8.31666666666668,14.0666666666667,6.74111761258225,-28,129.19,4.61,75.78,454.68,67.3113109614943,19.6333333333333,8.93333333333336,15.0666666666667,3.53600527903076,-17.2,87.19,25.66,65.3966666666667,200.8,77.9986412864372,"atoquedo_2003"
"5","atoquedo","2004",18.1,7.81666666666668,13.6166666666667,6.22813508738102,-26.9,83.4,12.26,54.3316666666667,325.99,52.96058671729,17.4,7.06666666666668,13.1,2.75136329843952,-15.3,82.24,29.3,58.9233333333333,189.03,48.8335737511155,"atoquedo_2004"
"6","atoquedo","2005",18.6166666666667,7.06666666666668,13.35,7.86911685006647,-31.9,44.55,0.52,21.885,131.31,89.3754803493839,19.5333333333334,8.23333333333335,14.6666666666667,3.94250343479031,-19.3,44.55,35.92,39.2366666666667,119.83,49.8508806587274,"atoquedo_2005"
"7","atoquedo","2006",18.7666666666667,7.90000000000002,13.8333333333333,7.10877392147667,-28.3,127.11,20.42,50.3383333333333,302.03,76.8909198973747,20.2333333333333,9.13333333333335,15.3666666666667,4.00666112035112,-19.3,127.11,20.42,62.19,218.94,62.2376709455006,"atoquedo_2006"
"8","atoquedo","2007",17.6,7.38333333333334,13.0833333333333,5.00776064390728,-23,110.47,14.76,69.8366666666667,419.02,59.2905569133802,18.4,7.66666666666667,13.7333333333333,3.17227573412737,-17.2,110.47,21.46,73.9466666666667,302.3,55.9951522670496,"atoquedo_2007"
"9","atoquedo","2008",18.1333333333333,7.85000000000001,13.6333333333333,4.92693278487403,-23.8,147.63,13.21,72.16,432.96,69.294099128679,18.1666666666667,7.63333333333334,13.6,2.33023603954621,-15,147.63,13.21,88.4833333333333,290.34,56.5107801068993,"atoquedo_2008"
"10","atoquedo","2009",18.9166666666667,7.76666666666668,13.8833333333334,6.23840257330885,-26.5,81.66,11.45,39.51,237.06,65.7221433234899,20.6333333333333,8.16666666666669,14.9333333333334,3.4385074281341,-18.8,42.74,11.45,24.6833333333333,100.44,105.19980618681,"atoquedo_2009"
"11","atoquedo","2010",17.15,7.61666666666667,13,5.80034481733629,-23.9,216.16,41.54,111.236666666667,667.42,59.8568647845376,18.2333333333333,7.93333333333334,13.9,3.31511689085018,-16.4,130.77,41.54,81.9333333333333,301.9,81.2645823728561,"atoquedo_2010"
"12","atoquedo","2011",18.7166666666667,8.43333333333335,14.1833333333333,6.07895276068721,-25.4,126.31,10.06,78.1483333333333,468.89,50.1035402162195,19.8333333333334,9.70000000000001,15.5333333333333,4.30038757943203,-18.3,126.31,74.96,95.8033333333333,297.47,40.8702706446943,"atoquedo_2011"
"13","atoquedo","2012",18.6666666666667,6.73333333333335,12.9833333333333,6.8735483315873,-30.2,63.51,0.57,22.5483333333333,135.29,123.659287960638,19.4666666666667,7.9666666666667,14.1,4.24617474911243,-19.2,63.51,6.52,40.7766666666667,123.55,68.380058318461,"atoquedo_2012"
