"","aoi_name","Year","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","plotname"
"1","atoquedo","2041",19.6833333333334,9.05000000000004,14.9166666666667,6.2031174957973,-27.3,97.6,26,68.9166666666667,413.5,36.7325524264463,20.0833333333334,9.2166666666667,15.35,3.25115364140176,-17.2,97.6,59.7,73.7,247.1,34.3485084313332,"atoquedo_2041"
"2","deheson_C2","2041",19.6833333333334,9.28333333333336,15.15,6.48999229583518,-27.3,100.8,21,66.25,397.5,42.0362318080589,20.15,9.48333333333337,15.65,3.51567916624939,-17.2,100.8,54.6,71.4333333333333,235.3,38.9860059349123,"deheson_C2_2041"
"3","deheson_C5","2041",19.6666666666667,9.23333333333336,15.0833333333334,6.46147557966959,-27.4,98.9,20.8,64.9166666666667,389.5,41.8839450966247,20.15,9.41666666666669,15.5833333333334,3.47898452617043,-17.3,98.9,53.6,70.0666666666667,231,38.8054153547462,"deheson_C5_2041"
"4","deheson_O6","2041",19.6666666666667,9.23333333333336,15.0833333333334,6.46147557966959,-27.4,98.9,20.8,64.9166666666667,389.5,41.8839450966247,20.15,9.41666666666669,15.5833333333334,3.47898452617043,-17.3,98.9,53.6,70.0666666666667,231,38.8054153547462,"deheson_O6_2041"
"5","deheson_S3","2041",19.5666666666667,9.16666666666671,15.05,6.48999229583517,-27.3,101,21.1,66.1,396.6,42.0144753325693,20.0500000000001,9.35000000000004,15.55,3.51567916624937,-17.3,101,54.6,71.4333333333333,235.4,38.8776036325175,"deheson_S3_2041"
"6","deheson_S7","2041",19.5833333333334,9.15000000000004,15,6.44662702504186,-27.4,97.7,20.6,63.9333333333333,383.6,41.8741300784861,20.0500000000001,9.3166666666667,15.4833333333334,3.47898452617044,-17.3,97.7,52.9,69.1,227.9,38.7431652149235,"deheson_S7_2041"
"7","deheson_W1","2041",19.55,9.13333333333337,15.0166666666667,6.47909458695168,-27.4,106.1,22,69.3666666666667,416.2,42.0924475644327,20.0166666666667,9.35000000000004,15.4833333333334,3.47898452617044,-17.3,106.1,57.3,75.0666666666667,247.2,38.896262602835,"deheson_W1_2041"
"8","deheson_W4","2041",19.6833333333334,9.26666666666669,15.15,6.48999229583518,-27.3,98.8,20.7,64.9333333333333,389.6,41.9629588320845,20.15,9.45000000000003,15.65,3.51567916624939,-17.3,98.8,53.5,70,230.7,38.9256399070956,"deheson_W4_2041"
"9","la_cana","2041",19.5666666666667,8.63333333333337,14.5666666666667,6.16097935937679,-27.4,79.9,19.5,52.65,315.9,40.2050732923374,19.9166666666667,8.75000000000004,14.95,3.32866339541867,-17.5,79.9,42.4,56.6,189.3,37.3992422056813,"la_cana_2041"
"10","la_ciervina","2041",19.6833333333334,9.06666666666669,14.8833333333334,6.11053734680237,-27.1,91.4,25.5,65.25,391.5,35.7527560830524,20.0833333333334,9.2166666666667,15.2833333333334,3.30807093837681,-17.2,91.4,56.3,69.9333333333333,235.3,33.3584461547069,"la_ciervina_2041"
"11","la_villa","2041",19.7,9.28333333333336,14.9166666666667,6.01819463515985,-26.7,85.9,23.7,64.7166666666667,388.3,36.6219407028161,20.0833333333334,9.45000000000003,15.3166666666667,3.19426569548204,-16.8,85.6,54.7,67.4666666666667,226.1,35.1291985546035,"la_villa_2041"
"12","las_casillas","2041",19.85,9.65000000000004,15.1,5.98590009940026,-26.5,75.4,19.3,52.0333333333333,312.2,38.6430729289296,20.2166666666667,9.78333333333338,15.45,3.15753068076938,-16.6,75.4,45.1,55.3666666666667,185.4,36.3165784720404,"las_casillas_2041"
"13","valdelacasa","2041",20.0833333333334,9.61666666666669,15.4666666666667,6.36534890376535,-27.3,90.9,21.9,67.7666666666667,406.6,38.8828681552775,20.55,9.88333333333336,15.9833333333334,3.40196021924614,-17.1,90.9,59.5,70.4333333333333,233.2,37.4107292757592,"valdelacasa_2041"
