"","plotname","CEC","CLAY","CN","DEPTH_ROOTS","K","N","OC","P","pH_CaCl","pH_H2O","T_BD","T_CLAY","T_GRAVEL","T_OC","T_SAND","T_SILT","T_TAWC","T_TEXTURE"
"1","atoquedo_2010",12.2596273422241,9,11.3049545288086,1.43815243244171,416.118804931641,1.5960921049118,15.2872610092163,14.5019798278809,5.96642398834229,6.75845670700073,1.5900000333786,9,21,1.39999997615814,73,18,37.7019805908203,1
"2","atoquedo_2011",12.2596273422241,9,11.3049545288086,1.43815243244171,416.118804931641,1.5960921049118,15.2872610092163,14.5019798278809,5.96642398834229,6.75845670700073,1.5900000333786,9,21,1.39999997615814,73,18,37.7019805908203,1
"3","atoquedo_2012",12.2596273422241,9,11.3049545288086,1.43815243244171,416.118804931641,1.5960921049118,15.2872610092163,14.5019798278809,5.96642398834229,6.75845670700073,1.5900000333786,9,21,1.39999997615814,73,18,37.7019805908203,1
"4","atoquedo_2013",12.2596273422241,9,11.3049545288086,1.43815243244171,416.118804931641,1.5960921049118,15.2872610092163,14.5019798278809,5.96642398834229,6.75845670700073,1.5900000333786,9,21,1.39999997615814,73,18,37.7019805908203,1
"5","atoquedo_2014",12.2596273422241,9,11.3049545288086,1.43815243244171,416.118804931641,1.5960921049118,15.2872610092163,14.5019798278809,5.96642398834229,6.75845670700073,1.5900000333786,9,21,1.39999997615814,73,18,37.7019805908203,1
"6","la_cana_2002",8.89283657073975,21,11.3144798278809,1.41999995708466,268.616333007812,2.43364787101746,11.5331497192383,21.4734420776367,5.49258470535278,5.92851972579956,1.4099999666214,21,19,1.38999998569489,42,37,45.8719482421875,2
"7","la_cana_2005",8.89283657073975,21,11.3144798278809,1.41999995708466,268.616333007812,2.43364787101746,11.5331497192383,21.4734420776367,5.49258470535278,5.92851972579956,1.4099999666214,21,19,1.38999998569489,42,37,45.8719482421875,2
"8","la_cana_2011",8.89283657073975,21,11.3144798278809,1.41999995708466,268.616333007812,2.43364787101746,11.5331497192383,21.4734420776367,5.49258470535278,5.92851972579956,1.4099999666214,21,19,1.38999998569489,42,37,45.8719482421875,2
"9","la_ciervina_2005",9.70303153991699,11,12.0209703445435,1.38999998569489,378.624908447266,1.47608292102814,15.424054145813,11.7900114059448,5.69658756256104,6.74267530441284,1.57000005245209,11,4,0.310000002384186,77,12,41.457576751709,1
"10","la_ciervina_2011",9.70303153991699,11,12.0209703445435,1.38999998569489,378.624908447266,1.47608292102814,15.424054145813,11.7900114059448,5.69658756256104,6.74267530441284,1.57000005245209,11,4,0.310000002384186,77,12,41.457576751709,1
"11","la_ciervina_2014",9.70303153991699,11,12.0209703445435,1.38999998569489,378.624908447266,1.47608292102814,15.424054145813,11.7900114059448,5.69658756256104,6.74267530441284,1.57000005245209,11,4,0.310000002384186,77,12,41.457576751709,1
"12","las_casillas_2002",8.44512748718262,9,10.4729595184326,1.58000004291534,297.610168457031,1.86594521999359,26.5550918579102,22.7474136352539,5.4189887046814,6.17776727676392,1.60000002384186,9,19,0.699999988079071,78,13,35.1700096130371,1
"13","las_casillas_2007",8.44512748718262,9,10.4729595184326,1.58000004291534,297.610168457031,1.86594521999359,26.5550918579102,22.7474136352539,5.4189887046814,6.17776727676392,1.60000002384186,9,19,0.699999988079071,78,13,35.1700096130371,1
"14","las_casillas_2012",8.44512748718262,9,10.4729595184326,1.58000004291534,297.610168457031,1.86594521999359,26.5550918579102,22.7474136352539,5.4189887046814,6.17776727676392,1.60000002384186,9,19,0.699999988079071,78,13,35.1700096130371,1
"15","las_casillas_2014",8.44512748718262,9,10.4729595184326,1.58000004291534,297.610168457031,1.86594521999359,26.5550918579102,22.7474136352539,5.4189887046814,6.17776727676392,1.60000002384186,9,19,0.699999988079071,78,13,35.1700096130371,1
"16","la_villa_2003",11.3968706130981,6,10.6122188568115,1.60000002384186,267.482421875,1.69671773910522,15.5346078872681,12.6461906433105,5.3775200843811,6.37923431396484,1.66999995708466,6,15,0.5,83,11,33.6952667236328,1
"17","la_villa_2010",11.3968706130981,6,10.6122188568115,1.60000002384186,267.482421875,1.69671773910522,15.5346078872681,12.6461906433105,5.3775200843811,6.37923431396484,1.66999995708466,6,15,0.5,83,11,33.6952667236328,1
"18","la_villa_2015",11.3968706130981,6,10.6122188568115,1.60000002384186,267.482421875,1.69671773910522,15.5346078872681,12.6461906433105,5.3775200843811,6.37923431396484,1.66999995708466,6,15,0.5,83,11,33.6952667236328,1
"19","valdelacasa_2002",14.4119987487793,9,11.3750448226929,1.58000004291534,307.710083007812,2.21865129470825,23.9675426483154,21.889181137085,6.15385437011719,6.77706289291382,1.60000002384186,9,19,0.699999988079071,78,13,35.1700096130371,1
"20","valdelacasa_2003",14.4119987487793,9,11.3750448226929,1.58000004291534,307.710083007812,2.21865129470825,23.9675426483154,21.889181137085,6.15385437011719,6.77706289291382,1.60000002384186,9,19,0.699999988079071,78,13,35.1700096130371,1
"21","valdelacasa_2014",14.4119987487793,9,11.3750448226929,1.58000004291534,307.710083007812,2.21865129470825,23.9675426483154,21.889181137085,6.15385437011719,6.77706289291382,1.60000002384186,9,19,0.699999988079071,78,13,35.1700096130371,1
"22","valdelacasa_2015",14.4119987487793,9,11.3750448226929,1.58000004291534,307.710083007812,2.21865129470825,23.9675426483154,21.889181137085,6.15385437011719,6.77706289291382,1.60000002384186,9,19,0.699999988079071,78,13,35.1700096130371,1
"23","deheson_S3_2008",14.9895372390747,10,10.2485809326172,1.44000005722046,289.237060546875,2.22016215324402,17.795129776001,21.896240234375,6.35601568222046,6.77293872833252,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"24","deheson_S3_2009",14.9895372390747,10,10.2485809326172,1.44000005722046,289.237060546875,2.22016215324402,17.795129776001,21.896240234375,6.35601568222046,6.77293872833252,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"25","deheson_S3_2010",14.9895372390747,10,10.2485809326172,1.44000005722046,289.237060546875,2.22016215324402,17.795129776001,21.896240234375,6.35601568222046,6.77293872833252,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"26","deheson_S3_2012",14.9895372390747,10,10.2485809326172,1.44000005722046,289.237060546875,2.22016215324402,17.795129776001,21.896240234375,6.35601568222046,6.77293872833252,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"27","deheson_S3_2013",14.9895372390747,10,10.2485809326172,1.44000005722046,289.237060546875,2.22016215324402,17.795129776001,21.896240234375,6.35601568222046,6.77293872833252,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"28","deheson_W1_2008",11.3884735107422,10,11.8076572418213,1.44000005722046,311.288055419922,1.71166706085205,25.4038619995117,18.6980266571045,6.42774963378906,6.94911193847656,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"29","deheson_W1_2009",11.3884735107422,10,11.8076572418213,1.44000005722046,311.288055419922,1.71166706085205,25.4038619995117,18.6980266571045,6.42774963378906,6.94911193847656,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"30","deheson_W1_2010",11.3884735107422,10,11.8076572418213,1.44000005722046,311.288055419922,1.71166706085205,25.4038619995117,18.6980266571045,6.42774963378906,6.94911193847656,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"31","deheson_W1_2012",11.3884735107422,10,11.8076572418213,1.44000005722046,311.288055419922,1.71166706085205,25.4038619995117,18.6980266571045,6.42774963378906,6.94911193847656,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"32","deheson_W1_2013",11.3884735107422,10,11.8076572418213,1.44000005722046,311.288055419922,1.71166706085205,25.4038619995117,18.6980266571045,6.42774963378906,6.94911193847656,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"33","deheson_C2_2008",13.5349550247192,10,10.116943359375,1.44000005722046,278.854949951172,1.7786957025528,15.1210603713989,23.0111236572266,6.47550010681152,6.8383526802063,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"34","deheson_C2_2009",13.5349550247192,10,10.116943359375,1.44000005722046,278.854949951172,1.7786957025528,15.1210603713989,23.0111236572266,6.47550010681152,6.8383526802063,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"35","deheson_C2_2010",13.5349550247192,10,10.116943359375,1.44000005722046,278.854949951172,1.7786957025528,15.1210603713989,23.0111236572266,6.47550010681152,6.8383526802063,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"36","deheson_C2_2012",13.5349550247192,10,10.116943359375,1.44000005722046,278.854949951172,1.7786957025528,15.1210603713989,23.0111236572266,6.47550010681152,6.8383526802063,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"37","deheson_C2_2013",13.5349550247192,10,10.116943359375,1.44000005722046,278.854949951172,1.7786957025528,15.1210603713989,23.0111236572266,6.47550010681152,6.8383526802063,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"38","deheson_S7_2008",15.7503824234009,9,10.5367660522461,1.41999995708466,254.46028137207,1.64308714866638,16.2671604156494,23.0115165710449,6.31945657730103,6.81157970428467,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
