"","Farm_code","yield_kgDM_ha.1","BLUE","GREEN","RED","NIR","SWIR1","SWIR2","NDVI","NDTI","GNDVI","NDMI","NDWI","NGRDI","SAVI","BSI","EVI","AVI","MSI","GCI","OSAVI","MSAVI2","NLI","pixel_count","tas_max_year","tas_min_year","tas_mean_year","pr_max_year","pr_min_year","pr_mean_year","tas_max_spring","tas_min_spring","tas_mean_spring","pr_max_spring","pr_min_spring","pr_mean_spring","CEC","CLAY","CN","DEPTH_ROOTS","K","N","OC","P","pH_CaCl","pH_H2O","T_BD","T_CLAY","T_GRAVEL","T_OC","T_SAND","T_SILT","T_TAWC","T_TEXTURE","slope","aspect","TRI","roughness"
"1","valdelacasa_2002",4320,0.043040522517321,0.0696547748267898,0.0688903383371824,0.308280156466513,0.170909133371824,0.0928289168591224,0.625889820238869,0.531183320733084,0.623068637945168,0.280973613478938,-0.623068637945168,0.0223404149098666,0.406337770589427,-0.373888326781478,0.42921139517528,0.407297809816961,0.579583381954035,3.63827236119259,0.440764120341944,0.393745122101065,0.15567482351121,16,30.61,27.73,28.9966666666667,198.51,0.21,77.9933333333333,29.555,28.425,29.065,151.37,8.22,62.2275,14.4119987487793,9,11.3750448226929,1.58000004291534,307.710083007812,2.21865129470825,23.9675426483154,21.889181137085,6.15385437011719,6.77706289291382,1.60000002384186,9,19,0.699999988079071,78,13,35.1700096130371,1,5.81966753742979,160.594342778558,0.406784864879558,1.34180873622714
"2","la_cana_2002",2280,0.0559032299000681,0.0758526467749262,0.0736005822734499,0.307826501533046,0.140133200374745,0.0747219739382239,0.615218921921849,0.611479782636295,0.604651038239435,0.376951252927356,-0.604651038239435,0.018060995700555,0.397478480139351,-0.423693350557155,0.439644005581524,0.404940585899945,0.45405583193811,3.08269301762335,0.431832469087127,0.37779888447021,0.125309959221661,34,30.47,27.71,28.9,126.55,0.37,54.0833333333333,29.4825,28.305,28.9475,96.01,6.66,50.63,8.89283657073975,21,11.3144798278809,1.41999995708466,268.616333007812,2.43364787101746,11.5331497192383,21.4734420776367,5.49258470535278,5.92851972579956,1.4099999666214,21,19,1.38999998569489,42,37,45.8719482421875,2,1.98068553040319,193.120521446476,0.143240202717797,0.465096165400856
"3","la_villa_2003",3790,0.0551265904212503,0.0820782948752348,0.0904180922994366,0.299777816943923,0.254789473437081,0.149405898510867,0.535918696883127,0.335770187574746,0.569459507652444,0.0813833823892223,-0.569459507652444,-0.0472816189028786,0.352411138324233,-0.194864674893014,0.36635949310253,0.384740373408665,0.85244881206366,2.65601125430721,0.380034188665228,0.329756860465297,-0.00335245190250138,31,30.7,27.69,28.9666666666667,165.35,2.64,69.3625,29.59,28.4825,29.09,97.99,3.83,52.705,11.3968706130981,6,10.6122188568115,1.60000002384186,267.482421875,1.69671773910522,15.5346078872681,12.6461906433105,5.3775200843811,6.37923431396484,1.66999995708466,6,15,0.5,83,11,33.6952667236328,1,2.27198540058842,232.407098085629,0.157722055257356,0.513122802432317
"4","la_cana_2005",3740,0.046025820076182,0.0760332741429532,0.0791227078198521,0.314627297781761,0.243083222608111,0.133244987676451,0.594778612392582,0.405709600791167,0.608002325910927,0.130034469198709,-0.608002325910927,-0.015089913227945,0.393922363789205,-0.26374408811243,0.408425039627864,0.407493346594254,0.79189603467733,3.23943269884548,0.42327608055703,0.376916475094928,0.111228084484712,17,30.59,27.27,28.8825,139.64,0.52,25.5933333333333,29.6225,28.3925,29.0775,36.28,3.14,19.4975,8.89283657073975,21,11.3144798278809,1.41999995708466,268.616333007812,2.43364787101746,11.5331497192383,21.4734420776367,5.49258470535278,5.92851972579956,1.4099999666214,21,19,1.38999998569489,42,37,45.8719482421875,2,1.98068553040319,193.120521446476,0.143240202717797,0.465096165400856
"16","atoquedo_2010",2790,0.0470852238059515,0.0833055020005001,0.0943664709927482,0.28967958552138,0.229725287571893,0.138558737184296,0.509503864754643,0.354956520336641,0.553546341310362,0.117124883528837,-0.553546341310362,-0.0606785391220885,0.331528809752255,-0.184514271075188,0.325216847020348,0.371340020215259,0.792588340596102,2.48523505052294,0.359346125392065,0.3072414122796,-0.0565754074683713,17,30.76,27.66,28.9058333333333,260.32,2.54,93.2541666666667,29.3925,28.325,28.9375,130.77,41.54,75.475,12.2596273422241,9,11.3049545288086,1.43815243244171,416.118804931641,1.5960921049118,15.2872610092163,14.5019798278809,5.96642398834229,6.75845670700073,1.5900000333786,9,21,1.39999997615814,73,18,37.7019805908203,1,3.12339831992469,185.338251182942,0.225363121306202,0.725963178884486
"17","la_villa_2010",3910,0.0507737174671318,0.0848467155218675,0.0795991185940435,0.373962922256507,0.218687972229675,0.117541784276898,0.645446714716762,0.521327755835906,0.627259935998684,0.26124900394308,-0.627259935998684,0.037519207617973,0.461306615967683,-0.368191804003336,0.500887115449816,0.465226973669752,0.595627000017179,3.4318703135953,0.477391994817417,0.455608876004668,0.267931179483838,31,30.78,27.7,28.9116666666667,260.18,1.98,89.0841666666667,29.3975,28.3475,28.94,145.03,32.98,71.1675,11.3968706130981,6,10.6122188568115,1.60000002384186,267.482421875,1.69671773910522,15.5346078872681,12.6461906433105,5.3775200843811,6.37923431396484,1.66999995708466,6,15,0.5,83,11,33.6952667236328,1,2.27198540058842,232.407098085629,0.157722055257356,0.513122802432317
"25","atoquedo_2011",3540,0.0506878406136245,0.0890354394175767,0.0956371125845034,0.257123562142486,0.227419286271451,0.132263351534061,0.457917877855206,0.32111125122017,0.485708457375872,0.0618341650383306,-0.485708457375872,-0.0357500968033764,0.284039360436301,-0.149410192020326,0.278367687573161,0.33482895763979,0.884936861503357,1.89138581197837,0.314952429780558,0.256863815893134,-0.18231358679915,8,30.47,27.63,28.9633333333333,165.95,0.66,62.0691666666667,29.5475,28.4625,29.0725,126.31,10.06,74.3675,12.2596273422241,9,11.3049545288086,1.43815243244171,416.118804931641,1.5960921049118,15.2872610092163,14.5019798278809,5.96642398834229,6.75845670700073,1.5900000333786,9,21,1.39999997615814,73,18,37.7019805908203,1,3.12339831992469,185.338251182942,0.225363121306202,0.725963178884486
"26","la_cana_2011",6820,0.0568204357824211,0.092852874460595,0.0886453401090166,0.391905015898251,0.217147153361345,0.111073844821712,0.628868285833202,0.556268554490646,0.614702376203737,0.285575660343041,-0.614702376203737,0.0292144550770502,0.462758497057415,-0.385163703686791,0.507720899467567,0.475795775134994,0.562494585687816,3.26310940009482,0.471919328805972,0.457888016810876,0.265587343930132,34,30.45,27.62,28.945,114.06,0.34,46.4625,29.58,28.4225,29.065,75.13,13.17,54.8975,8.89283657073975,21,11.3144798278809,1.41999995708466,268.616333007812,2.43364787101746,11.5331497192383,21.4734420776367,5.49258470535278,5.92851972579956,1.4099999666214,21,19,1.38999998569489,42,37,45.8719482421875,2,1.98068553040319,193.120521446476,0.143240202717797,0.465096165400856
"27","la_ciervina_2011",4760,0.0552181864754098,0.0829425512295082,0.0925370389344262,0.241668924180328,0.245821024590164,0.157280194672131,0.446684627195551,0.212637006420588,0.489068857247691,-0.00796205676477737,-0.489068857247691,-0.053955280726757,0.268171851996494,-0.0871947089105386,0.269834323998599,0.319702977194273,1.01888883801144,1.91754256169218,0.301871706698588,0.239932917214878,-0.225188589205978,10,30.46,27.63,28.96,153.99,0.67,56.5675,29.56,28.4725,29.075,103.47,9.65,66.9375,9.70303153991699,11,12.0209703445435,1.38999998569489,378.624908447266,1.47608292102814,15.424054145813,11.7900114059448,5.69658756256104,6.74267530441284,1.57000005245209,11,4,0.310000002384186,77,12,41.457576751709,1,5.61911644849076,161.295694985635,0.386618978479339,1.2796980792483
"28","deheson_O6_2012",623.5,0.0480553543948879,0.0715311088288993,0.0803348780646845,0.242842753325509,0.265385451551904,0.159669523343766,0.502665676228323,0.20754812798206,0.544430541265916,-0.0435588474785395,-0.544430541265916,-0.057064917506021,0.295911853919287,-0.096943778107409,0.297824636679873,0.330844804663815,1.09481783499053,2.40369185971615,0.336072268582789,0.266641845254977,-0.152619655475976,28,30.69,27.34,28.9166666666667,150.48,1.8,48.5241666666667,29.575,28.385,29.02,76.65,1.8,32.9125,13.0227241516113,9,9.94951725006104,1.41999995708466,254.617980957031,1.85545551776886,17.5911712646484,22.1634178161621,6.53959989547729,6.96616125106812,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1,2.24934592850385,209.996461558863,0.171512611916899,0.541107493265744
